PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3214226,20176451,3,2020-09-20T23:55:00,"4000 Block Liberty AV Pittsburgh, PA 15224",N,Bloomfield,5,ROBBERY/CARJACK/STRONGARM,901 Criminal Attempt / 3701 Robbery. / 4106 Access Device Fraud,903,7,2,-79.95725055,40.46282249
3216770,21043989,3,2021-03-15T21:19:00,"600 Block Hollace ST Pittsburgh, PA 15219",N,Middle Hill,2,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,501,6,3,-79.96740752,40.44995308
3219863,21039546,3,2021-03-08T22:40:00,"Pioneer AV & Cadet AV Pittsburgh, PA 15226",N,Brookline,6,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1917,4,5,-80.00950204,40.41172198
3222837,21058569,3,2021-04-07T01:40:00,"Smithfield ST & 1st AV Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,201,6,6,-80.00054962,40.43724274
3225265,21067881,3,2021-04-20T10:39:00,"Sterrett ST & Idlewild ST Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1302,9,2,-79.89384426,40.45768914
3226141,21070620,3,2021-04-24T17:18:00,"300 Block S Lang AV Pittsburgh, PA 15208",N,Point Breeze,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1406,8,3,-79.90529052,40.44858136
3227097,21051187,3,2021-03-26T21:30:00,"Lecky AV & Malden ST Pittsburgh, PA 15233",N,Manchester,1,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,2107,1,1,-80.03450059,40.47463686
3229675,21077007,3,2021-05-04T03:10:00,"Forbes AV & Miltenberger ST Pittsburgh, PA 15219",N,Bluff,2,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,103,6,3,-79.98143466,40.43750774
3232373,21067635,3,2021-04-19T23:23:00,"7300 Block Monticello ST Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,1302,9,2,-79.89325313,40.45883755
3237812,21104613,3,2021-06-13T23:15:00,"1200 Block Courtright ST Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,,,0,0
