DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231011800,07/28/2023 12:00:00 AM,07/28/2023 12:00:00 AM,0245,10,West Valley,1003,1,210,ROBBERY,1300 0916 0334 0421 0354 0400 0344 1822 1402,60,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,210,998,,,18800    ROSCOE                       BL,,34.2206,-118.543
231816227,09/10/2023 12:00:00 AM,09/10/2023 12:00:00 AM,0830,18,Southeast,1826,1,210,ROBBERY,0330 1822 0342 0432 1310 0916 0213,59,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,96TH                         ST,SUCCESS,33.9491,-118.249
231706563,03/03/2023 12:00:00 AM,03/03/2023 12:00:00 AM,2140,17,Devonshire,1781,1,220,ATTEMPTED ROBBERY,0355 0337 1822 1310 0916,28,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,220,,,,20900    GRESHAM                      ST,,34.2306,-118.5885
230305948,02/07/2023 12:00:00 AM,02/07/2023 12:00:00 AM,1930,03,Southwest,0321,1,210,ROBBERY,0302 0355 0421 0354 0916 0330 1822 0342 1419 1407,38,M,B,101,STREET,102,HAND GUN,JA,Juv Arrest,210,998,,,OBAMA,LA CIENEGA                   BL,34.0217,-118.3724
231808925,04/13/2023 12:00:00 AM,04/13/2023 12:00:00 AM,1900,18,Southeast,1829,1,210,ROBBERY,1822 0344 0334 0330 1300 0916 2033,18,M,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,103RD                        ST,GRAPE                        ST,33.9431,-118.2368
231106809,03/15/2023 12:00:00 AM,03/15/2023 12:00:00 AM,0955,11,Northeast,1179,1,220,ATTEMPTED ROBBERY,0916 0443 0369 0370 1300 1822 0342 0355,34,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,220,,,,CARLOTA                      BL,AVENUE 36,34.0874,-118.2107
231210218,04/15/2023 12:00:00 AM,04/15/2023 12:00:00 AM,1600,12,77th Street,1205,1,210,ROBBERY,0916 0334,29,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,NORMANDIE                    AV,50TH                         ST,33.9978,-118.3002
231514809,09/13/2023 12:00:00 AM,09/13/2023 12:00:00 AM,1130,15,N Hollywood,1555,1,210,ROBBERY,0916 0334,58,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,510,,,VINELAND,KLING                        ST,34.1555,-118.3703
231309771,04/26/2023 12:00:00 AM,04/26/2023 12:00:00 AM,1900,13,Newton,1343,1,210,ROBBERY,1822 1300 0916 0355 0432 0334 0344 0330,21,M,O,101,STREET,207,OTHER KNIFE,IC,Invest Cont,210,,,,700 E  41ST                         ST,,34.0114,-118.2624
231317784,09/24/2023 12:00:00 AM,09/24/2023 12:00:00 AM,0330,13,Newton,1372,1,210,ROBBERY,0916 0411 0445 0330 0342 0416 1822,21,M,H,101,STREET,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,210,,,,100 E  55TH                         ST,,33.9924,-118.2739
